COUNTY	GLOBAL_ID	FIELD_PT_NAME	LOGDATE	LOGTIME	LOGCODE	SAMPID	MATRIX	LABWO 	LABCODE	LABSAMPID	ANMCODE	LABLOTCTL	ANADATE	BASIS	PARLABEL	PARVAL	PARVQ	LABDL	REPDL	UNITS	DILFAC	LNOTE
Alpine	T0600300005	MW-10	2007-11-20	1200	GECR	MW-10	W	NA	KIFF	59730-10	CATPH-D	S112907W05	2007-12-01	N	PHCD	140	=	50	50	UG/L	1	DZ,SG
Alpine	T0600300005	MW-1	2007-11-20	1200	GECR	MW-1	W	NA	KIFF	59730-16	SW8260B	V942353	2007-11-22	N	DIPE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2008-02-27	1200	GECR	MW-1	W	NA	KIFF	61314-21	SW8260B	V022908W15	2008-03-01	N	BZME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2003-10-21	1200	GECR	MW-10	W	NA	KIFF	35471-04	SW8260B	V439490	2003-10-25	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2003-10-21	1200	GECR	MW-10	W	NA	KIFF	35471-04	SW8260B	V439490	2003-10-25	N	MTBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-10	2004-07-20	1200	GECR	MW-10	W	NA	KIFF	39288-06	CATPH-D	S072204W03	2004-07-23	N	PHCLUB	480	=	100	100	UG/L	1	
Alpine	T0600300005	MW-10	2005-04-01	1200	GECR	MW-10	W	NA	KIFF	43100-08	CATPH-D	S040405W06	2005-04-05	N	PHCD	290	=	50	50	UG/L	1	BI
Alpine	T0600300005	MW-10	2005-09-21	1200	GECR	MW-10	W	NA	KIFF	46105-06	CATPH-D	S092305W05	2005-09-29	N	PHCLUB	370	=	100	100	UG/L	1	
Alpine	T0600300005	MW-10	2007-11-20	1200	GECR	MW-10	W	NA	KIFF	59730-10	CATPH-D	S112907W05	2007-12-01	N	PHCLUB	380	=	100	100	UG/L	1	SG
Alpine	T0600300005	MW-10	2008-05-14	1320	CLSR	MW-10	W	CRE0582	CLSR	CRE058206	M8015	CR03957	2008-05-19	N	MOIL	770	=	9.1	50	UG/L	1	DU
